Program ID,Broad Field,Field,Institution Name,Program Name,Non-Asian Minority Faculty as a Percent of Total Core and New Domestic Faculty (2006),Female Faculty as a Percent of Total Core and New Faculty (2006),Non-Asian Minority Students as a Percent of Total Domestic Students (Fall 2005),Female Students as a Percent of Total Students (Fall 2005),International Students as a Percent of Total Students (Fall 2005)
20062400,Physical and Mathematical Sciences,Mathematics,University of Mississippi,Mathematics,14.3%,11.8%,60%,42.1%,21.1%
20025434,Physical and Mathematical Sciences,Mathematics,University of Missouri - Columbia,Mathematics,0%,15.8%,4.2%,35.2%,51.9%
20017170,Physical and Mathematical Sciences,Mathematics,University of Nebraska - Lincoln,Mathematics,2.9%,17.6%,4%,44.6%,16.9%
20068527,Physical and Mathematical Sciences,Mathematics,University of Missouri - Rolla,Mathematics,0%,17.6%,0%,16.7%,33.3%
20050661,Physical and Mathematical Sciences,Mathematics,University of New Hampshire,Mathematics,7.7%,30.8%,0%,52.6%,78.9%
20045391,Physical and Mathematical Sciences,Mathematics,University of North Carolina At Chapel Hill,Mathematics,3%,8.8%,2.9%,57.1%,33.9%
20047373,Physical and Mathematical Sciences,Mathematics,University of North Texas,Mathematics,4.3%,11.1%,12.5%,30.8%,38.5%
20051738,Physical and Mathematical Sciences,Mathematics,University of Oklahoma Norman Campus,Mathematics,0%,9.7%,3.8%,35.2%,51.9%
20035961,Physical and Mathematical Sciences,Mathematics,University of Notre Dame,Mathematics,5.9%,13.5%,4%,28%,38%
20036999,Physical and Mathematical Sciences,Mathematics,University of Pennsylvania,Mathematics,0%,6.9%,0%,19.6%,44.6%
20043940,Physical and Mathematical Sciences,Mathematics,University of Oregon,Mathematics,0%,3.3%,0%,14.3%,16.3%
20049818,Physical and Mathematical Sciences,Mathematics,University of Pittsburgh Pittsburgh Campus,Mathematics,0%,9.1%,0%,31.3%,50%
20065054,Physical and Mathematical Sciences,Mathematics,University of Rhode Island,Mathematics,11.8%,23.5%,0%,50%,8.3%
20069283,Physical and Mathematical Sciences,Mathematics,University of Rochester,Mathematics,0%,11.8%,10%,18.5%,55.6%
20067845,Physical and Mathematical Sciences,Mathematics,University of South Carolina Columbia,Mathematics,0%,11.8%,0%,29.7%,54.1%
20024891,Physical and Mathematical Sciences,Mathematics,University of South Florida,Mathematics,0%,8.7%,5%,27.1%,58.3%
20068239,Physical and Mathematical Sciences,Mathematics,University of Southern California,Mathematics,4.4%,3.3%,9.1%,20%,0%
20061676,Physical and Mathematical Sciences,Mathematics,University of Texas At Austin,Mathematics,14%,11.6%,4.1%,27.2%,0%
20045896,Physical and Mathematical Sciences,Mathematics,University of Tennessee,Mathematics,7.7%,7.1%,6.1%,31.3%,31.3%
20043542,Physical and Mathematical Sciences,Mathematics,University of Toledo,Mathematics,0%,13.6%,0%,35%,85%
20047632,Physical and Mathematical Sciences,Mathematics,University of Utah,Mathematics,2.6%,7%,0%,31.4%,40%
20027539,Physical and Mathematical Sciences,Mathematics,University of Vermont,Mathematical Sciences,4.4%,0%,0%,50%,20%
20023313,Physical and Mathematical Sciences,Mathematics,University of Virginia,Mathematics,4.2%,16.7%,4%,32.5%,30%
20059772,Physical and Mathematical Sciences,Mathematics,University of Washington,Mathematics,4.3%,13.7%,2%,19.8%,25.9%
20030827,Physical and Mathematical Sciences,Mathematics,University of Wisconsin-Madison,Mathematics,4.2%,5.7%,3.9%,22.5%,39.9%
20026682,Physical and Mathematical Sciences,Mathematics,University of Wisconsin-Milwaukee,Mathematics,2.9%,8.6%,0%,25%,47.2%
20052012,Physical and Mathematical Sciences,Mathematics,Vanderbilt University,Mathematics,3.3%,6.3%,0%,21.9%,53.1%
20044664,Physical and Mathematical Sciences,Mathematics,Virginia Polytechnic Institute And State University,Mathematics,4.4%,10.2%,18.8%,30%,43.3%
20069908,Physical and Mathematical Sciences,Mathematics,Washington University In St. Louis,Mathematics,0%,10%,0%,23.7%,34.2%
20044114,Physical and Mathematical Sciences,Mathematics,Western Michigan University,Mathematics,7.7%,33.3%,14.3%,22.2%,22.2%
20021438,Physical and Mathematical Sciences,Mathematics,Wayne State University,Mathematics,6.1%,6.1%,33.3%,30.8%,88.5%
20045058,Physical and Mathematical Sciences,"Oceanography, Atmospheric Sciences and Meteorology",College of William And Mary,Marine Science,4%,19.2%,5.1%,41.1%,17.8%
20063616,Physical and Mathematical Sciences,Mathematics,Yale University,Mathematics,0%,0%,0%,21.2%,63.6%
20056241,Physical and Mathematical Sciences,"Oceanography, Atmospheric Sciences and Meteorology",Colorado State University,Atmospheric Science,0%,8.3%,10.8%,22.9%,22.9%
20027335,Physical and Mathematical Sciences,"Oceanography, Atmospheric Sciences and Meteorology",Florida State University,Meteorology,0%,18.8%,5.9%,37.9%,41.4%
20027364,Physical and Mathematical Sciences,"Oceanography, Atmospheric Sciences and Meteorology",Florida State University,Oceanography,0%,10%,0%,40.7%,37%
20058210,Physical and Mathematical Sciences,"Oceanography, Atmospheric Sciences and Meteorology",Louisiana State University And Agricultural And Mechanical College,Oceanography & Coastal Sciences,0%,6.7%,8.7%,51.2%,34.9%
20033154,Physical and Mathematical Sciences,"Oceanography, Atmospheric Sciences and Meteorology",Massachusetts Institute of Technology,"Atmospheres, Oceans & Climate incl. MIT/WHOI Oceanography",3.5%,19.9%,4.3%,48.2%,24.1%
20041502,Physical and Mathematical Sciences,"Oceanography, Atmospheric Sciences and Meteorology",North Carolina State University,"Marine, Earth and Atmospheric Sciences",3%,22.9%,0%,33.3%,33.3%
20028790,Physical and Mathematical Sciences,"Oceanography, Atmospheric Sciences and Meteorology",Ohio State University Main Campus,Atmospheric Sciences,0%,12.5%,0%,33.3%,33.3%
20071048,Physical and Mathematical Sciences,"Oceanography, Atmospheric Sciences and Meteorology",Old Dominion University,Oceanography,0%,25%,11.1%,33.3%,33.3%
20032391,Physical and Mathematical Sciences,"Oceanography, Atmospheric Sciences and Meteorology",Princeton University,Atmospheric and Oceanic Science,15.4%,7.1%,0%,36.4%,81.8%
20031570,Physical and Mathematical Sciences,"Oceanography, Atmospheric Sciences and Meteorology",Penn State University,Meteorology,0%,16.7%,0%,25.6%,38.5%
20055640,Physical and Mathematical Sciences,"Oceanography, Atmospheric Sciences and Meteorology",Purdue University Main Campus,Atmospheric Science,6.3%,16.7%,0%,35.7%,35.7%
20018878,Physical and Mathematical Sciences,"Oceanography, Atmospheric Sciences and Meteorology",Oregon State University,Oceanography,6.3%,13.4%,6.5%,40%,10%
20012683,Physical and Mathematical Sciences,"Oceanography, Atmospheric Sciences and Meteorology",Rutgers The State University of New Jersey New Brunswick Campus,Oceanography,0%,14.8%,6.7%,56%,28%
20033497,Physical and Mathematical Sciences,"Oceanography, Atmospheric Sciences and Meteorology",State University of New York At Albany,Atmospheric Science,0%,10.5%,11.1%,27.3%,59.1%
20038230,Physical and Mathematical Sciences,"Oceanography, Atmospheric Sciences and Meteorology",State University of New York At Stony Brook,Marine and Atmospheric Sciences,7.1%,21.4%,12.2%,55.8%,50%
20022097,Physical and Mathematical Sciences,"Oceanography, Atmospheric Sciences and Meteorology",Texas A & M University,Atmospheric Sciences,0%,14.3%,9.1%,30%,60%
20022123,Physical and Mathematical Sciences,"Oceanography, Atmospheric Sciences and Meteorology",Texas A & M University,Oceanography,4.2%,14.3%,0%,43.8%,46.9%
20043160,Physical and Mathematical Sciences,"Oceanography, Atmospheric Sciences and Meteorology",University of Alabama In Huntsville,Atmospheric Science,0%,11.1%,8.3%,32.4%,27%
20028020,Physical and Mathematical Sciences,"Oceanography, Atmospheric Sciences and Meteorology",University of Alaska Fairbanks,Oceanography,0%,5.3%,14.3%,28.6%,14.3%
20033824,Physical and Mathematical Sciences,"Oceanography, Atmospheric Sciences and Meteorology",University of Arizona,Atmospheric Sciences,14.3%,14.3%,0%,38.5%,46.2%
20053095,Physical and Mathematical Sciences,"Oceanography, Atmospheric Sciences and Meteorology",University of California-Los Angeles,Atmospheric & Oceanic Sciences,7.7%,7.7%,5.9%,54.1%,51.4%
20065766,Physical and Mathematical Sciences,"Oceanography, Atmospheric Sciences and Meteorology",University of California-San Diego,Scripps Institution of Oceanography,1.5%,16.1%,7.6%,52.1%,25.6%
20070311,Physical and Mathematical Sciences,"Oceanography, Atmospheric Sciences and Meteorology",University of California-Santa Barbara,Marine Science,0%,16%,6.9%,50%,8.3%
20023753,Physical and Mathematical Sciences,"Oceanography, Atmospheric Sciences and Meteorology",University of California-Santa Cruz,Ocean Sciences,3.5%,16.1%,14.3%,66.7%,7.4%
20063865,Physical and Mathematical Sciences,"Oceanography, Atmospheric Sciences and Meteorology",University of Colorado At Boulder,Atmospheric and Oceanic Sciences,6.3%,22.2%,5.9%,47.6%,11.9%
20024202,Physical and Mathematical Sciences,"Oceanography, Atmospheric Sciences and Meteorology",University of Connecticut,Oceanography PhD,5.3%,26.3%,0%,66.7%,40%
20012243,Physical and Mathematical Sciences,"Oceanography, Atmospheric Sciences and Meteorology",University of Delaware,Marine Studies,0%,9.7%,2.4%,54.4%,26.3%
20012285,Physical and Mathematical Sciences,"Oceanography, Atmospheric Sciences and Meteorology",University of Delaware,Oceanography,0%,9.7%,0%,57.1%,57.1%
20019822,Physical and Mathematical Sciences,"Oceanography, Atmospheric Sciences and Meteorology",University of Georgia,Marine Sciences,0%,31.3%,4.8%,50%,26.7%
20014827,Physical and Mathematical Sciences,"Oceanography, Atmospheric Sciences and Meteorology",University of Hawaii At Manoa,Meteorology,0%,0%,0%,30%,75%
20014869,Physical and Mathematical Sciences,"Oceanography, Atmospheric Sciences and Meteorology",University of Hawaii At Manoa,Oceanography,3.6%,3.2%,3.3%,51.1%,36.2%
20038816,Physical and Mathematical Sciences,"Oceanography, Atmospheric Sciences and Meteorology",University of Illinois At Urbana-Champaign,Atmospheric Sciences,0%,7.7%,0%,17.6%,81.3%
20061896,Physical and Mathematical Sciences,"Oceanography, Atmospheric Sciences and Meteorology",University of Maryland Baltimore County/univ. Md Baltimore/univ. Md Eastern Shore/univ. Md College Park,"Marine, Estuarine, & Environmental Sciences",7.7%,23.8%,9.5%,47.9%,29.4%
20050027,Physical and Mathematical Sciences,"Oceanography, Atmospheric Sciences and Meteorology",University of Maryland College Park,Atmospheric and Oceanic Science,7.4%,9.7%,14.3%,39.6%,47.9%
20050991,Physical and Mathematical Sciences,"Oceanography, Atmospheric Sciences and Meteorology",University of Miami,Rosenstiel School of Marine and Atmospheric Science,3.3%,17.2%,10.7%,47.1%,36.1%
20035194,Physical and Mathematical Sciences,"Oceanography, Atmospheric Sciences and Meteorology",University of Michigan-Ann Arbor,"Atmospheric, Oceanic and Space Sciences",4.2%,19.2%,0%,48.4%,58.1%
20040309,Physical and Mathematical Sciences,"Oceanography, Atmospheric Sciences and Meteorology",University of Minnesota-Twin Cities,Water Resources Science,1.4%,14.7%,0%,41.9%,29%
20014982,Physical and Mathematical Sciences,"Oceanography, Atmospheric Sciences and Meteorology",University of Nevada Reno,Atmospheric Science,0%,50%,0%,20%,53.3%
20045362,Physical and Mathematical Sciences,"Oceanography, Atmospheric Sciences and Meteorology",University of North Carolina At Chapel Hill,Marine Sciences,10%,15%,0%,61.1%,5.6%
20051754,Physical and Mathematical Sciences,"Oceanography, Atmospheric Sciences and Meteorology",University of Oklahoma Norman Campus,Meteorology,0%,9.5%,0%,33.3%,46.7%
20065096,Physical and Mathematical Sciences,"Oceanography, Atmospheric Sciences and Meteorology",University of Rhode Island,Oceanography,3.5%,20%,2.6%,50.9%,26.3%
20024888,Physical and Mathematical Sciences,"Oceanography, Atmospheric Sciences and Meteorology",University of South Florida,Marine Science,21.4%,17.9%,5.5%,59.2%,21.1%
20032812,Physical and Mathematical Sciences,"Oceanography, Atmospheric Sciences and Meteorology",University of Southern Mississippi,Marine Science,0%,16.7%,0%,25%,62.5%
20061650,Physical and Mathematical Sciences,"Oceanography, Atmospheric Sciences and Meteorology",University of Texas At Austin,Marine Science,6.7%,26.7%,0%,42.1%,0%
20059879,Physical and Mathematical Sciences,"Oceanography, Atmospheric Sciences and Meteorology",University of Washington,Oceanography,0%,24.6%,0%,60.3%,9.6%
20059471,Physical and Mathematical Sciences,"Oceanography, Atmospheric Sciences and Meteorology",University of Washington,Atmospheric Sciences,0%,15.4%,4.8%,31.1%,23%
20047674,Physical and Mathematical Sciences,"Oceanography, Atmospheric Sciences and Meteorology",University of Utah,Meteorology,0%,11.1%,0%,25%,31.3%
20030348,Physical and Mathematical Sciences,"Oceanography, Atmospheric Sciences and Meteorology",University of Wisconsin-Madison,Atmospheric and Oceanic Sciences,12.5%,12.5%,5.3%,24.3%,48.6%
20030788,Physical and Mathematical Sciences,"Oceanography, Atmospheric Sciences and Meteorology",University of Wisconsin-Madison,Limnology and Marine Science,5%,30%,0%,33.3%,25%
20035055,Physical and Mathematical Sciences,Physics,Arizona State University,Physics,7.3%,9.1%,13%,25.3%,39.2%
20038010,Physical and Mathematical Sciences,Physics,Auburn University,Physics,37.5%,5.6%,12.5%,22.2%,55.6%
20043393,Physical and Mathematical Sciences,Physics,Baylor University,Physics,7.1%,14.3%,14.3%,15.8%,63.2%
20036177,Physical and Mathematical Sciences,Physics,Boston College,Physics,6.7%,6.7%,0%,14%,81.4%
20059316,Physical and Mathematical Sciences,Physics,Boston University,Physics,2.9%,75%,9.5%,15.5%,55.5%
20025133,Physical and Mathematical Sciences,Physics,Brandeis University,Physics,0%,13.3%,0%,12.9%,54.8%
20066749,Physical and Mathematical Sciences,Physics,Brigham Young University,Physics and Astronomy,3.4%,3.6%,12.5%,20%,46.7%
20018441,Physical and Mathematical Sciences,Physics,Brown University,Physics,0%,7.7%,0%,18.9%,80%
20032883,Physical and Mathematical Sciences,Physics,California Institute of Technology,Applied Physics,0%,0%,3.6%,18.8%,56.3%
20033086,Physical and Mathematical Sciences,Physics,California Institute of Technology,Physics,0%,4.7%,6.2%,19.3%,46%
20071307,Physical and Mathematical Sciences,Physics,Carnegie Mellon University,Physics,0%,6.5%,0%,22.4%,56.7%
20019288,Physical and Mathematical Sciences,Physics,Case Western Reserve University,Physics,0%,10.5%,0%,25%,63.6%
20052300,Physical and Mathematical Sciences,Physics,Catholic University of America,Physics,9.1%,0%,15.8%,3.6%,25%
20057321,Physical and Mathematical Sciences,Physics,City University of New York Grad. Center,Physics,4.8%,8.7%,33.3%,18.7%,69.2%
20066846,Physical and Mathematical Sciences,Physics,Clark University,Physics,0%,0%,0%,35.7%,57.1%
20016919,Physical and Mathematical Sciences,Physics,Clemson University,Physics,0%,9.5%,0%,23.5%,38.2%
20045029,Physical and Mathematical Sciences,Physics,College of William And Mary,Applied Science,0%,0%,0%,27.6%,37.9%
20045061,Physical and Mathematical Sciences,Physics,College of William And Mary,Physics,0%,13.5%,7.3%,30.9%,25.5%
20056416,Physical and Mathematical Sciences,Physics,Colorado State University,Physics,0%,5.6%,12%,22.7%,43.2%
20057839,Physical and Mathematical Sciences,Physics,Columbia University In The City of New York,Physics,3%,7.9%,9.3%,26.5%,58.4%
20016032,Physical and Mathematical Sciences,Physics,Cornell University,Physics,2.1%,5.3%,4.5%,18.2%,43.2%
20048301,Physical and Mathematical Sciences,Physics,Dartmouth College,Physics & Astronomy,5.3%,31.6%,4.3%,31%,42.9%
20027186,Physical and Mathematical Sciences,Physics,Drexel University,Physics,0%,4.8%,0%,31.4%,57.1%
20030047,Physical and Mathematical Sciences,Physics,Duke University,Physics,3.1%,11.8%,2.7%,17.1%,50%
20044295,Physical and Mathematical Sciences,Physics,Florida Atlantic University,Physics,14.3%,7.1%,12.5%,35%,60%
20034674,Physical and Mathematical Sciences,Physics,Florida International University,Physics,0%,9.1%,66.7%,20%,52%
20027380,Physical and Mathematical Sciences,Physics,Florida State University,Physics,7.1%,8.9%,5.7%,15.3%,56.5%
20019482,Physical and Mathematical Sciences,Physics,George Washington University,Physics,0%,6.7%,0%,20.8%,62.5%
20063027,Physical and Mathematical Sciences,Physics,Georgia Institute of Technology,Physics,0%,7.1%,10%,14.9%,66.9%
20051547,Physical and Mathematical Sciences,Physics,Georgia State University,Physics,0%,0%,40%,31%,82.8%
20065973,Physical and Mathematical Sciences,Physics,Harvard University,DEAS-Applied Physics,0%,4.4%,11.1%,24.3%,45.7%
20066299,Physical and Mathematical Sciences,Physics,Harvard University,Physics,2.3%,10.9%,3.3%,27.7%,35.8%
20060473,Physical and Mathematical Sciences,Physics,Illinois Institute of Technology,Physics,0%,6.3%,25%,15%,75%
20046578,Physical and Mathematical Sciences,Physics,Indiana University At Bloomington,Physics,2.1%,6.4%,3.7%,25.6%,67.1%
20070667,Physical and Mathematical Sciences,Physics,Iowa State University,Physics,4.5%,6.8%,0%,16.9%,32.5%
20056940,Physical and Mathematical Sciences,Physics,Johns Hopkins University,Physics,0%,7.7%,12.5%,18.2%,56.4%
20028693,Physical and Mathematical Sciences,Physics,Kansas State University,Physics,0%,7.7%,11.8%,28.6%,69.6%
20039556,Physical and Mathematical Sciences,Physics,Lehigh University,Physics,0%,0%,12%,15.9%,43.2%
20058223,Physical and Mathematical Sciences,Physics,Louisiana State University And Agricultural And Mechanical College,Physics,8.3%,5.3%,8%,11.3%,50%
20033442,Physical and Mathematical Sciences,Physics,Massachusetts Institute of Technology,Physics,2.3%,5.4%,5.1%,12%,50%
20047153,Physical and Mathematical Sciences,Physics,Michigan State University,Physics,2%,11.1%,5.8%,16.2%,54.7%
20022398,Physical and Mathematical Sciences,Physics,Michigan Technological University,Physics,7.1%,0%,0%,21.7%,78.3%
20060208,Physical and Mathematical Sciences,Physics,Montana State University - Bozeman,Physics,0%,10.7%,0%,22%,42.1%
20064673,Physical and Mathematical Sciences,Physics,New Jersey Institute of Technology,Applied Physics,6.7%,6.7%,20%,22.6%,64.5%
20062280,Physical and Mathematical Sciences,Physics,New Mexico State University Main Campus,Physics,6.3%,5.3%,27.3%,7.9%,0%
20064534,Physical and Mathematical Sciences,Physics,New York University,Physics,0%,6.1%,12.5%,11.6%,76.7%
20041599,Physical and Mathematical Sciences,Physics,North Carolina State University,Physics,4.8%,14%,16.9%,15.1%,35.5%
20031949,Physical and Mathematical Sciences,Physics,Northeastern University,Physics,4.5%,8%,16.7%,16.7%,0%
20040383,Physical and Mathematical Sciences,Physics,Northern Illinois University,Physics,4.2%,15.4%,5%,12.9%,35.5%
20069034,Physical and Mathematical Sciences,Physics,Northwestern University,Physics and Astronomy,3.6%,17.2%,3.2%,22.4%,59.2%
20028855,Physical and Mathematical Sciences,Physics,Ohio State University Main Campus,Chemical Physics,4.8%,9.1%,0%,40%,55%
20029265,Physical and Mathematical Sciences,Physics,Ohio State University Main Campus,Physics,0%,6.8%,6.3%,14.4%,43.1%
20013844,Physical and Mathematical Sciences,Physics,Ohio University Main Campus,Physics and Astronomy,12.5%,11.5%,0%,30.4%,81.2%
20042064,Physical and Mathematical Sciences,Physics,Oklahoma State University Main Campus,Photonics,0%,10%,14.3%,23.5%,58.8%
20042077,Physical and Mathematical Sciences,Physics,Oklahoma State University Main Campus,Physics,4%,16%,10%,8.3%,54.2%
20070913,Physical and Mathematical Sciences,Physics,Old Dominion University,Physics,0%,10%,0%,28.9%,63.2%
20018881,Physical and Mathematical Sciences,Physics,Oregon State University,Physics,4%,16%,3.8%,14.8%,0%
20031680,Physical and Mathematical Sciences,Physics,Penn State University,Physics,8.3%,14.3%,11.6%,11.7%,56.8%
20032634,Physical and Mathematical Sciences,Physics,Princeton University,Physics,0%,8.1%,0%,14.3%,50.5%
20032647,Physical and Mathematical Sciences,Physics,Princeton University,Plasma Physics,0%,12.5%,0%,12.9%,35.5%
20056005,Physical and Mathematical Sciences,Physics,Purdue University Main Campus,Physics,2.5%,6.4%,5.6%,23.4%,71.1%
20044978,Physical and Mathematical Sciences,Physics,Rensselaer Polytechnic Institute,Physics,23.5%,16%,5%,16.9%,64.4%
20040985,Physical and Mathematical Sciences,Physics,Rice University,Applied Physics,0%,23.5%,22.2%,31%,0%
20040998,Physical and Mathematical Sciences,Physics,Rice University,Astronomy,0%,0%,25%,7.7%,30.8%
20041201,Physical and Mathematical Sciences,Physics,Rice University,Physics,0%,11.5%,16.7%,11.4%,47.7%
20012696,Physical and Mathematical Sciences,Physics,Rutgers The State University of New Jersey New Brunswick Campus,Physics and Astronomy,1.5%,11.4%,5.9%,17%,64.2%
20052821,Physical and Mathematical Sciences,Physics,Stanford University,Physics,0%,12.7%,5.5%,18.2%,46.5%
20033701,Physical and Mathematical Sciences,Physics,State University of New York At Albany,Physics,9.1%,9.1%,27.3%,24.2%,60.6%
20038696,Physical and Mathematical Sciences,Physics,State University of New York At Buffalo,Physics,3.4%,9.1%,2.9%,17.6%,60%
20038340,Physical and Mathematical Sciences,Physics,State University of New York At Stony Brook,Physics and Astronomy,4.2%,4.1%,8.6%,20.1%,53.8%
20037723,Physical and Mathematical Sciences,Physics,Stevens Institute of Technology,Physics,0%,8.3%,25%,40%,42.9%
20022644,Physical and Mathematical Sciences,Physics,Syracuse University Main Campus,Physics,0%,11.5%,20%,28%,76%
20042349,Physical and Mathematical Sciences,Physics,Temple University,Physics,0%,17.6%,8.2%,21.4%,64%
20022071,Physical and Mathematical Sciences,Physics,Texas A & M University,Physics,2.1%,7.8%,19.5%,13.8%,65.9%
20017361,Physical and Mathematical Sciences,Physics,Texas Christian University,Physics,12.5%,12.5%,11.1%,17.6%,47.1%
20022880,Physical and Mathematical Sciences,Physics,Texas Tech University,Physics,0%,5.6%,30%,16.7%,50%
20029760,Physical and Mathematical Sciences,Physics,Tufts University,Physics,0%,5.6%,0%,35.5%,51.6%
20066862,Physical and Mathematical Sciences,Physics,Tulane University,Physics,0%,9.1%,7.1%,12.5%,37.5%
20041816,Physical and Mathematical Sciences,Physics,University of Alabama,Physics,0%,0%,9.1%,21.1%,71.1%
20048673,Physical and Mathematical Sciences,Physics,University of Alabama At Birmingham,Physics,13.3%,6.7%,38.5%,30.4%,39.1%
20043212,Physical and Mathematical Sciences,Physics,University of Alabama In Huntsville,Optical Science and Engineering,0%,0%,10%,24.1%,65.5%
20043225,Physical and Mathematical Sciences,Physics,University of Alabama In Huntsville,Physics,0%,0%,0%,25%,43.8%
20028033,Physical and Mathematical Sciences,Physics,University of Alaska Fairbanks,Physics,0%,7.7%,0%,40%,0%
20034195,Physical and Mathematical Sciences,Physics,University of Arizona,Optical Sciences,5.3%,4.9%,12.1%,14.7%,37.3%
20034221,Physical and Mathematical Sciences,Physics,University of Arizona,Physics,6.1%,10.3%,5.7%,21.3%,49.3%
20013734,Physical and Mathematical Sciences,Physics,University of Arkansas Main Campus,Physics,0%,7.7%,0%,21.1%,47.4%
20061168,Physical and Mathematical Sciences,Physics,University of California-Berkeley,Physics,1.4%,6.8%,12.8%,15.1%,21.8%
20066998,Physical and Mathematical Sciences,Physics,University of California-Davis,Applied Science Engineering,4.3%,8.7%,11.5%,19.6%,37.3%
20067379,Physical and Mathematical Sciences,Physics,University of California-Davis,Physics,2.2%,13%,4.4%,20.1%,18.8%
20060541,Physical and Mathematical Sciences,Physics,University of California-Irvine,Physics,0%,10.2%,1.7%,18%,35.1%
20053558,Physical and Mathematical Sciences,Physics,University of California-Los Angeles,Physics,4.5%,6.5%,5.5%,10.1%,19.6%
20048903,Physical and Mathematical Sciences,Physics,University of California-Riverside,Physics,10.7%,20%,21.4%,22.5%,50.7%
20065737,Physical and Mathematical Sciences,Physics,University of California-San Diego,Physics,7.1%,3.9%,5.4%,13.3%,24.2%
20070382,Physical and Mathematical Sciences,Physics,University of California-Santa Barbara,Physics,0%,8%,3.3%,14.5%,18.6%
20023766,Physical and Mathematical Sciences,Physics,University of California-Santa Cruz,Physics,3.6%,9.2%,8.7%,32.1%,7.1%
20014005,Physical and Mathematical Sciences,Physics,University of Central Florida,Physics,16.7%,9.1%,10.7%,17%,47.2%
20014542,Physical and Mathematical Sciences,Physics,University of Chicago,Physics,4.3%,6.3%,1.4%,17.4%,49.3%
20032249,Physical and Mathematical Sciences,Physics,University of Cincinnati Main Campus,Physics,0%,7.7%,16.7%,9.5%,79.4%
20064097,Physical and Mathematical Sciences,Physics,University of Colorado At Boulder,Physics,0%,10.2%,3.7%,19.2%,22.3%
20024260,Physical and Mathematical Sciences,Physics,University of Connecticut,Physics PhD,3.4%,3.3%,0%,18.4%,61.8%
20012298,Physical and Mathematical Sciences,Physics,University of Delaware,Physics,0%,5.9%,11.8%,22.5%,78.8%
20013404,Physical and Mathematical Sciences,Physics,University of Florida,Physics,1.9%,5.7%,4.5%,15.2%,64.4%
20019893,Physical and Mathematical Sciences,Physics,University of Georgia,Physics,0%,8.7%,17.4%,19.2%,51.9%
20014885,Physical and Mathematical Sciences,Physics,University of Hawaii At Manoa,Physics,7.1%,0%,13.6%,20%,31.4%
20042653,Physical and Mathematical Sciences,Physics,University of Houston,Physics,3.6%,9.2%,10.7%,20.2%,69.7%
20043021,Physical and Mathematical Sciences,Physics,University of Illinois At Chicago,Physics,8.3%,12%,10.5%,23.5%,70.6%
20039255,Physical and Mathematical Sciences,Physics,University of Illinois At Urbana-Champaign,Physics,5.9%,12.7%,3.7%,13.7%,42.4%
20020345,Physical and Mathematical Sciences,Physics,University of Iowa,Physics,3.3%,9.7%,14.3%,21.2%,51.1%
20051327,Physical and Mathematical Sciences,Physics,University of Kansas,Physics,0%,13.6%,12.5%,20%,57.5%
20028389,Physical and Mathematical Sciences,Physics,University of Kentucky,Physics,0%,7.1%,0%,26.9%,65.4%
20036300,Physical and Mathematical Sciences,Physics,University of Maryland Baltimore County,Applied Physics,4.8%,14.3%,27.8%,31%,37.9%
20050098,Physical and Mathematical Sciences,Physics,University of Maryland College Park,Chemical Physics,2.9%,12.8%,7.1%,28.2%,61.5%
20050454,Physical and Mathematical Sciences,Physics,University of Maryland College Park,Physics,3.7%,11.4%,5%,12.3%,39.1%
20048110,Physical and Mathematical Sciences,Physics,University of Massachusetts Amherst,Physics,0%,3.4%,20%,13.8%,67.7%
20050959,Physical and Mathematical Sciences,Physics,University of Miami,Physics,29.4%,0%,0%,30.8%,92.3%
20035152,Physical and Mathematical Sciences,Physics,University of Michigan-Ann Arbor,Applied Physics,9.3%,11.2%,26.5%,21.7%,26.1%
20040192,Physical and Mathematical Sciences,Physics,University of Minnesota-Twin Cities,Physics,1.9%,3.6%,2.9%,16.1%,53.4%
20035741,Physical and Mathematical Sciences,Physics,University of Michigan-Ann Arbor,Physics,7.3%,15.3%,5.9%,25.4%,43.4%
20062455,Physical and Mathematical Sciences,Physics,University of Mississippi,Physics,0%,8%,0%,15%,45%
20025528,Physical and Mathematical Sciences,Physics,University of Missouri - Columbia,Physics,4.5%,20%,0%,20.5%,66.7%
20026213,Physical and Mathematical Sciences,Physics,University of Missouri - Kansas City,Physics,0%,12.5%,0%,40%,0%
20068569,Physical and Mathematical Sciences,Physics,University of Missouri - Rolla,Physics,0%,10.5%,0%,29.6%,55.6%
20025719,Physical and Mathematical Sciences,Physics,University of Missouri - Saint Louis,Physics,18.2%,16.7%,0%,23.1%,38.5%
20017183,Physical and Mathematical Sciences,Physics,University of Nebraska - Lincoln,Physics & Astronomy,0%,8%,10.3%,22%,47.5%
20015156,Physical and Mathematical Sciences,Physics,University of Nevada Reno,Physics,6.3%,5.9%,15.4%,30.3%,57.6%
20015334,Physical and Mathematical Sciences,Physics,University of New Mexico Main Campus,Physics,0%,11.1%,0%,17.5%,41.3%
20050690,Physical and Mathematical Sciences,Physics,University of New Hampshire,Physics,3.6%,7.1%,0%,25%,0%
20060279,Physical and Mathematical Sciences,Physics,University of New Mexico Main Campus,Optical Science & Engineering,0%,7.1%,8.3%,15.9%,72.7%
20023164,Physical and Mathematical Sciences,Physics,University of New Orleans,Engineering and Applied Science--SCI,5.9%,31.4%,8.2%,22.9%,0%
