Program ID,Broad Field,Field,Institution Name,Program Name,Average Number of  PhDs Graduated (2002-2006),Percent of Interdisciplinary Faculty (2006),Average GRE Scores (2004-2006),"Percent of
First Year Students with External Fellowships (2005)",Is Student Work Space Provided?,Is Health Insurance Provided?,Number of Student Activities (Max=18)
20062138,Social and Behavioral Sciences,Psychology,Emory University,Psychology,10,14.3%,683,10%,Yes,Yes,16
20044305,Social and Behavioral Sciences,Psychology,Florida Atlantic University,Psychology,3.6,0%,653,0%,Yes,No,12
20022738,Social and Behavioral Sciences,Psychology,Florida Institute of Technology,Industrial/Organizational Psychology,1,0%,660,0%,No,Yes,15
20034690,Social and Behavioral Sciences,Psychology,Florida International University,Psychology,8.4,3.8%,604,10%,No,Yes,17
20027403,Social and Behavioral Sciences,Psychology,Florida State University,Psychology,10,0%,697,25%,Yes,Yes,18
20029427,Social and Behavioral Sciences,Psychology,Fordham University,Applied Developmental Psychology,7.6,47.8%,600,0%,No,No,17
20029443,Social and Behavioral Sciences,Psychology,Fordham University,Clinical Psychology,16,34.8%,674,0%,No,No,15
20029498,Social and Behavioral Sciences,Psychology,Fordham University,Psychometrics,1.2,55.6%,699,0%,No,No,16
20019505,Social and Behavioral Sciences,Psychology,George Washington University,Psychology,11.2,25.9%,660,0%,Yes,Yes,18
20063030,Social and Behavioral Sciences,Psychology,Georgia Institute of Technology,Psychology,5.6,0%,690,0%,No,No,15
20051563,Social and Behavioral Sciences,Psychology,Georgia State University,Psychology,17,24.5%,652,0%,No,Yes,12
20066312,Social and Behavioral Sciences,Psychology,Harvard University,Psychology,10.8,48.1%,746,50%,Yes,Yes,18
20026093,Social and Behavioral Sciences,Psychology,Howard University,Psychology,8.8,9.5%,511,0%,No,No,17
20060486,Social and Behavioral Sciences,Psychology,Illinois Institute of Technology,Psychology,13.6,0%,642,0%,No,No,13
20046235,Social and Behavioral Sciences,Psychology,Indiana University At Bloomington,Cognitive Science,7.4,50%,730,25%,Yes,Yes,17
20046604,Social and Behavioral Sciences,Psychology,Indiana University At Bloomington,Psychology,10.4,25.4%,719,0%,Yes,Yes,18
20046688,Social and Behavioral Sciences,Psychology,Indiana University At Bloomington,Speech & Hearing Sciences,2,44.8%,648,0%,Yes,Yes,16
20048369,Social and Behavioral Sciences,Psychology,Indiana University Purdue University Indianapolis,Clinical Rehabilitation Psychology,2.2,89.3%,643,23.1%,Yes,Yes,14
20048466,Social and Behavioral Sciences,Psychology,Indiana University Purdue University Indianapolis,Psychobiology of Addiction,1,91.3%,670,20%,Yes,Yes,14
20016692,Social and Behavioral Sciences,Psychology,Iowa State University,Psychology,6.8,3.4%,672,7.7%,Yes,Yes,18
20056979,Social and Behavioral Sciences,Psychology,Johns Hopkins University,Psychological and Brain Sciences,3.8,40%,752,33.3%,Yes,Yes,18
20028716,Social and Behavioral Sciences,Psychology,Kansas State University,Psychology,5.6,0%,624,0%,Yes,Yes,17
20040736,Social and Behavioral Sciences,Psychology,Kent State University Main Campus,Clinical Psychology,10.4,42.9%,684,8.8%,Yes,No,15
20040778,Social and Behavioral Sciences,Psychology,Kent State University Main Campus,Experimental Psychology,5.6,37.5%,609,8.8%,Yes,No,16
20039569,Social and Behavioral Sciences,Psychology,Lehigh University,Psychology,1.6,0%,655,0%,Yes,Yes,17
20060347,Social and Behavioral Sciences,Psychology,Loma Linda University,Marital and Family Therapy,2.6,23.1%,520,0%,No,Yes,16
20060376,Social and Behavioral Sciences,Psychology,Loma Linda University,Psychology,8,73.9%,586,0%,No,Yes,18
20058252,Social and Behavioral Sciences,Psychology,Louisiana State University And Agricultural And Mechanical College,Psychology,14.8,40%,635,0%,Yes,Yes,16
20036517,Social and Behavioral Sciences,Psychology,Loyola University Chicago,Clinical Psychology,7,50%,680,28.6%,Yes,No,16
20036520,Social and Behavioral Sciences,Psychology,Loyola University Chicago,Developmental Psychology,1.8,37.5%,628,0%,Yes,No,16
20036643,Social and Behavioral Sciences,Psychology,Loyola University Chicago,Social Psychology,2.8,41.7%,634,16.7%,Yes,No,18
20040891,Social and Behavioral Sciences,Psychology,Marquette University,Clinical Psychology,4.4,0%,668,0%,No,No,13
20040901,Social and Behavioral Sciences,Psychology,Marquette University,Counseling Psychology,2.4,0%,618,0%,No,No,18
20033251,Social and Behavioral Sciences,Psychology,Massachusetts Institute of Technology,Cognitive Science,4,0%,781,40%,Yes,Yes,18
20021182,Social and Behavioral Sciences,Psychology,Miami University,Psychology,8.8,47.5%,686,0%,No,Yes,18
20047218,Social and Behavioral Sciences,Psychology,Michigan State University,Psychology,18.4,23.3%,681,21.1%,Yes,Yes,17
20062303,Social and Behavioral Sciences,Psychology,New Mexico State University Main Campus,Psychology,2.4,0%,620,8.8%,Yes,Yes,15
20064275,Social and Behavioral Sciences,Psychology,New York University,Developmental Psychology,1.6,20.8%,609,0%,Yes,Yes,18
20064563,Social and Behavioral Sciences,Psychology,New York University,Psychology,7.2,15.4%,716,16.7%,Yes,Yes,17
20041625,Social and Behavioral Sciences,Psychology,North Carolina State University,Psychology,9.6,26.1%,624,0%,No,Yes,18
20026938,Social and Behavioral Sciences,Psychology,North Dakota State University Main Campus,Psychology,1,5.6%,613,0%,Yes,No,15
20031952,Social and Behavioral Sciences,Psychology,Northeastern University,Psychology,5,0%,657,0%,Yes,Yes,18
20040406,Social and Behavioral Sciences,Psychology,Northern Illinois University,Psychology,12.2,17.1%,631,0%,Yes,Yes,17
20069050,Social and Behavioral Sciences,Psychology,Northwestern University,Psychology,5.2,11.6%,733,23.1%,Yes,Yes,15
20029304,Social and Behavioral Sciences,Psychology,Ohio State University Main Campus,Psychology,26.8,2%,702,11.8%,No,Yes,18
20013857,Social and Behavioral Sciences,Psychology,Ohio University Main Campus,Psychology,11.2,0%,648,0%,Yes,No,17
20042103,Social and Behavioral Sciences,Psychology,Oklahoma State University Main Campus,Psychology,7.6,0%,603,40%,Yes,No,15
20071019,Social and Behavioral Sciences,Psychology,Old Dominion University,Industrial/Organizational Psychology,3.4,64.3%,645,0%,No,No,14
20031499,Social and Behavioral Sciences,Psychology,Penn State University,Human Development and Family Studies,9.2,52.1%,680,0%,Yes,Yes,18
20031732,Social and Behavioral Sciences,Psychology,Penn State University,Psychology,18.8,64.3%,706,0%,No,Yes,18
20032663,Social and Behavioral Sciences,Psychology,Princeton University,Psychology,5.4,24.3%,744,10%,Yes,Yes,16
20056021,Social and Behavioral Sciences,Psychology,Purdue University Main Campus,Psychological Sciences,13,37.8%,675,0%,Yes,Yes,18
20041227,Social and Behavioral Sciences,Psychology,Rice University,Psychology,4.2,50%,674,5.6%,Yes,Yes,15
20070829,Social and Behavioral Sciences,Psychology,Rutgers The State University of New Jersey Newark Campus,Psychology,3.25,0%,660,0%,No,Yes,18
20012780,Social and Behavioral Sciences,Psychology,Rutgers The State University of New Jersey New Brunswick Campus,Psychology,13.2,0%,706,0%,Yes,Yes,17
20063218,Social and Behavioral Sciences,Psychology,San Diego State University-University of California San Diego,Clinical Psychology,10,18.7%,703,28.6%,Yes,Yes,14
20032333,Social and Behavioral Sciences,Psychology,Seton Hall University,Psychology,5.2,0%,469,N/D,No,N/D,
20040587,Social and Behavioral Sciences,Psychology,Southern Illinois University Carbondale,Psychology,16.8,0%,625,0%,Yes,No,12
20043319,Social and Behavioral Sciences,Psychology,Southern Methodist University,Psychology,1.6,31.3%,669,0%,Yes,No,16
20052847,Social and Behavioral Sciences,Psychology,Stanford University,Psychology,9,26.7%,756,36.4%,No,Yes,14
20033536,Social and Behavioral Sciences,Psychology,State University of New York At Albany,Biopsychology,1.2,0%,650,0%,Yes,Yes,15
20033552,Social and Behavioral Sciences,Psychology,State University of New York At Albany,Clinical Psychology,7.4,0%,670,0%,Yes,Yes,15
20033565,Social and Behavioral Sciences,Psychology,State University of New York At Albany,Cognitive/Developmental Psychology,1.2,0%,680,0%,Yes,Yes,15
20033659,Social and Behavioral Sciences,Psychology,State University of New York At Albany,Industrial/Organizational Psychology,2,25%,721,0%,Yes,Yes,16
20033730,Social and Behavioral Sciences,Psychology,State University of New York At Albany,Social/Personality Psychology,3.4,0%,663,0%,Yes,Yes,15
20071598,Social and Behavioral Sciences,Psychology,State University of New York At Binghamton,Cognitive Psychology,2.6,27.3%,687,0%,Yes,Yes,18
20071608,Social and Behavioral Sciences,Psychology,State University of New York At Binghamton,Behavioral Neuroscience,1.6,0%,635,0%,Yes,Yes,18
20071611,Social and Behavioral Sciences,Psychology,State University of New York At Binghamton,Clinical Psychology,7.6,44.4%,641,0%,Yes,Yes,18
20038719,Social and Behavioral Sciences,Psychology,State University of New York At Buffalo,Psychology,6.4,34%,640,0%,Yes,Yes,18
20038379,Social and Behavioral Sciences,Psychology,State University of New York At Stony Brook,Psychology,15.4,8.1%,690,0%,Yes,Yes,17
20065818,Social and Behavioral Sciences,Psychology,Syracuse University Main Campus,Clinical Psychology,3.4,55%,679,0%,Yes,Yes,17
20065821,Social and Behavioral Sciences,Psychology,Syracuse University Main Campus,Cognitive Psychology,1,22.2%,693,0%,Yes,Yes,17
20070874,Social and Behavioral Sciences,Psychology,Syracuse University Main Campus,Social Psychology,1.2,61.5%,610,0%,Yes,Yes,17
20042378,Social and Behavioral Sciences,Psychology,Temple University,Psychology,16.2,6.9%,684,0%,Yes,Yes,16
20022026,Social and Behavioral Sciences,Psychology,Texas A & M University,Psychology,13.2,28.8%,667,4.5%,No,Yes,18
20017374,Social and Behavioral Sciences,Psychology,Texas Christian University,Psychology,4.8,0%,577,0%,Yes,No,18
20022903,Social and Behavioral Sciences,Psychology,Texas Tech University,Psychology,11.6,6.5%,636,19%,No,Yes,18
20029595,Social and Behavioral Sciences,Psychology,Tufts University,Child Development,4.4,11.8%,630,0%,No,Yes,18
20066875,Social and Behavioral Sciences,Psychology,Tulane University,Psychology,5.2,22.7%,613,23.1%,Yes,Yes,17
20029773,Social and Behavioral Sciences,Psychology,Tufts University,Psychology,4.8,9.5%,699,9.1%,Yes,Yes,18
20058825,Social and Behavioral Sciences,Psychology,Uniformed Services University of The Health Sciences,Medical and Clinical Psychology,3.8,44.4%,653,0%,No,No,12
20071103,Social and Behavioral Sciences,Psychology,University of Akron,Counseling Psychology,5.4,0%,595,35.7%,Yes,No,16
20071158,Social and Behavioral Sciences,Psychology,University of Akron,Psychology (Industrial/Organization),4.6,16.7%,676,50%,Yes,No,16
20041832,Social and Behavioral Sciences,Psychology,University of Alabama,Psychology,9.8,0%,654,0%,Yes,Yes,18
20034289,Social and Behavioral Sciences,Psychology,University of Arizona,Psychology,13,38.1%,661,0%,Yes,Yes,17
20013763,Social and Behavioral Sciences,Psychology,University of Arkansas Main Campus,Psychology,6.4,0%,579,0%,Yes,Yes,15
20061197,Social and Behavioral Sciences,Psychology,University of California-Berkeley,Psychology,19.4,1.9%,710,100%,Yes,Yes,18
20048686,Social and Behavioral Sciences,Psychology,University of Alabama At Birmingham,Psychology,6.2,60%,662,0%,Yes,Yes,17
20067421,Social and Behavioral Sciences,Psychology,University of California-Davis,Psychology,7.4,14.9%,695,0%,Yes,Yes,18
20049342,Social and Behavioral Sciences,Psychology,University of California-Irvine,Psychology,10.8,29.2%,698,0%,Yes,Yes,18
20053574,Social and Behavioral Sciences,Psychology,University of California-Los Angeles,Psychology,23.8,25.6%,737,29%,Yes,Yes,16
20048945,Social and Behavioral Sciences,Psychology,University of California-Riverside,Psychology,7.2,18.2%,635,0%,Yes,Yes,18
20065588,Social and Behavioral Sciences,Psychology,University of California-San Diego,Cognitive Science,3.4,38.2%,778,28.6%,Yes,Yes,18
20065753,Social and Behavioral Sciences,Psychology,University of California-San Diego,Psychology,6.2,36.5%,731,0%,Yes,Yes,18
20070405,Social and Behavioral Sciences,Psychology,University of California-Santa Barbara,Psychology,7.4,3.3%,716,33.3%,Yes,Yes,18
20023779,Social and Behavioral Sciences,Psychology,University of California-Santa Cruz,Psychology,8,5.7%,633,100%,Yes,Yes,15
20014018,Social and Behavioral Sciences,Psychology,University of Central Florida,Psychology,7.2,11.5%,655,5%,No,No,17
20014429,Social and Behavioral Sciences,Psychology,University of Chicago,Human Development,7.2,70.8%,656,14.3%,No,Yes,16
20014568,Social and Behavioral Sciences,Psychology,University of Chicago,Psychology,6,37.5%,740,10%,Yes,Yes,17
20032265,Social and Behavioral Sciences,Psychology,University of Cincinnati Main Campus,Psychology,13.2,20.7%,644,0%,Yes,Yes,17
20063904,Social and Behavioral Sciences,Psychology,University of Colorado At Boulder,Cognitive Science,1.6,96%,560,0%,Yes,Yes,15
20064110,Social and Behavioral Sciences,Psychology,University of Colorado At Boulder,Psychology,13.8,5.6%,708,7.1%,Yes,Yes,17
20024312,Social and Behavioral Sciences,Psychology,University of Connecticut,Psychology PhD,17.6,36%,680,0%,No,Yes,16
20012324,Social and Behavioral Sciences,Psychology,University of Delaware,Psychology,6.2,18.9%,662,0%,Yes,Yes,18
20013006,Social and Behavioral Sciences,Psychology,University of Florida,Clinical Psychology,11.6,35.9%,653,0%,Yes,Yes,18
20013446,Social and Behavioral Sciences,Psychology,University of Florida,Psychology,9.2,13.8%,672,0%,Yes,Yes,16
20019958,Social and Behavioral Sciences,Psychology,University of Georgia,Psychology,20,42%,660,6.8%,Yes,Yes,18
20060509,Social and Behavioral Sciences,Psychology,University of Georgia,Child & Family Development,5.2,5.3%,556,0%,Yes,Yes,18
20014911,Social and Behavioral Sciences,Psychology,University of Hawaii At Manoa,Psychology,7.8,11.1%,589,0%,Yes,Yes,17
20042488,Social and Behavioral Sciences,Psychology,University of Houston,Clinical Psychology,10,76.4%,673,0%,Yes,Yes,13
20042501,Social and Behavioral Sciences,Psychology,University of Houston,Developmental Cognitive Neuroscience,1.6,20%,645,0%,Yes,Yes,13
20042598,Social and Behavioral Sciences,Psychology,University of Houston,Industrial Organizational Psychology,4.2,58.3%,686,0%,Yes,Yes,13
20042679,Social and Behavioral Sciences,Psychology,University of Houston,Social Psychology,2.6,28.6%,620,0%,Yes,Yes,13
20043050,Social and Behavioral Sciences,Psychology,University of Illinois At Chicago,Psychology,10.6,12.5%,677,0%,Yes,Yes,15
20039297,Social and Behavioral Sciences,Psychology,University of Illinois At Urbana-Champaign,Psychology,22,20.9%,742,6.9%,No,Yes,17
20020484,Social and Behavioral Sciences,Psychology,University of Iowa,Psychology,9.4,0%,675,0%,Yes,Yes,17
20051042,Social and Behavioral Sciences,Psychology,University of Kansas,Behavioral Psychology,7.4,57.9%,660,0%,No,No,17
20051097,Social and Behavioral Sciences,Psychology,University of Kansas,Clinical Child Psychology,6,80.8%,679,0%,Yes,No,18
20051343,Social and Behavioral Sciences,Psychology,University of Kansas,Psychology,13.6,14%,663,0%,Yes,No,18
20028321,Social and Behavioral Sciences,Psychology,University of Kentucky,Psychology - Clinical,5,82.4%,681,0%,Yes,Yes,18
20028334,Social and Behavioral Sciences,Psychology,University of Kentucky,Psychology - Experimental,4.6,56.8%,592,0%,Yes,Yes,18
20026323,Social and Behavioral Sciences,Psychology,University of Louisville,Clinical Psychology,6.4,0%,634,0%,Yes,Yes,18
20026365,Social and Behavioral Sciences,Psychology,University of Louisville,Experimental Psychology,3.2,30.8%,637,11.1%,Yes,Yes,18
20036287,Social and Behavioral Sciences,Psychology,University of Maryland Baltimore County,Applied Developmental Psychology,3,72.7%,616,0%,Yes,Yes,17
20036397,Social and Behavioral Sciences,Psychology,University of Maryland Baltimore County,Human Services Psychology,9.8,20%,647,10%,No,Yes,15
20050276,Social and Behavioral Sciences,Psychology,University of Maryland College Park,Human Development,10.4,51.5%,625,0%,No,Yes,17
20050470,Social and Behavioral Sciences,Psychology,University of Maryland College Park,Psychology,14.8,52.7%,705,0%,No,Yes,17
20048165,Social and Behavioral Sciences,Psychology,University of Massachusetts Amherst,Psychology,13,27.1%,677,0%,Yes,Yes,15
20027940,Social and Behavioral Sciences,Psychology,University of Memphis,Psychology,13.8,45.5%,643,0%,Yes,No,18
20050975,Social and Behavioral Sciences,Psychology,University of Miami,Psychology,13,47.1%,714,4.8%,Yes,Yes,18
20035767,Social and Behavioral Sciences,Psychology,University of Michigan-Ann Arbor,Psychology,25.6,13.1%,728,18.5%,Yes,Yes,18
20039734,Social and Behavioral Sciences,Psychology,University of Minnesota-Twin Cities,Child Psychology,9.6,0%,703,0%,Yes,Yes,15
20040231,Social and Behavioral Sciences,Psychology,University of Minnesota-Twin Cities,Psychology,17,15.2%,737,0%,Yes,Yes,18
20062471,Social and Behavioral Sciences,Psychology,University of Mississippi,Psychology,11.2,0%,615,0%,Yes,Yes,18
20025324,Social and Behavioral Sciences,Psychology,University of Missouri - Columbia,"Educational, School and Counseling Psychology",17.4,0%,633,11.8%,No,Yes,16
20025560,Social and Behavioral Sciences,Psychology,University of Missouri - Columbia,Psychology,7.4,0%,666,0%,Yes,Yes,16
20026239,Social and Behavioral Sciences,Psychology,University of Missouri - Kansas City,Psychology,2.4,12.5%,636,0%,Yes,No,16
20025748,Social and Behavioral Sciences,Psychology,University of Missouri - Saint Louis,Psychology: Clinical,6.2,11.1%,668,0%,No,Yes,16
20025751,Social and Behavioral Sciences,Psychology,University of Missouri - Saint Louis,Psychology: Industrial Organizational,2.2,0%,668,0%,Yes,Yes,14
20017303,Social and Behavioral Sciences,Psychology,University of Nebraska - Lincoln,Psychology,17.6,28.6%,673,0%,No,Yes,16
20015172,Social and Behavioral Sciences,Psychology,University of Nevada Reno,Psychology,11.8,25.9%,619,0%,No,Yes,17
20015185,Social and Behavioral Sciences,Psychology,University of Nevada Reno,Social Psychology,4.4,46.7%,625,0%,Yes,Yes,18
20050713,Social and Behavioral Sciences,Psychology,University of New Hampshire,Psychology,5.4,27.6%,668,0%,Yes,Yes,17
20015350,Social and Behavioral Sciences,Psychology,University of New Mexico Main Campus,Psychology,12.4,36.1%,700,0%,Yes,Yes,16
20023135,Social and Behavioral Sciences,Psychology,University of New Orleans,Psychology,3.6,0%,622,6.1%,Yes,No,16
20045537,Social and Behavioral Sciences,Psychology,University of North Carolina At Chapel Hill,Psychology,17,28.6%,702,23.8%,Yes,Yes,18
20020073,Social and Behavioral Sciences,Psychology,University of North Dakota Main Campus,Counseling Psychology,4.8,37.5%,594,0%,Yes,Yes,14
20020125,Social and Behavioral Sciences,Psychology,University of North Dakota Main Campus,General/Experimental Psychology,5.4,46.7%,470,0%,Yes,Yes,17
20047289,Social and Behavioral Sciences,Psychology,University of North Texas,Clinical Psychology,6.2,0%,629,0%,Yes,Yes,15
20047302,Social and Behavioral Sciences,Psychology,University of North Texas,Counseling Psychology,6.2,0%,629,0%,Yes,Yes,12
20047331,Social and Behavioral Sciences,Psychology,University of North Texas,Health Psychology and Behavioral Medicine,5.6,11.1%,616,0%,Yes,Yes,14
20051819,Social and Behavioral Sciences,Psychology,University of Oklahoma Norman Campus,Psychology,6,62.3%,646,0%,Yes,Yes,18
20036012,Social and Behavioral Sciences,Psychology,University of Notre Dame,Psychology,7.2,10.8%,679,6.3%,Yes,Yes,17
20043995,Social and Behavioral Sciences,Psychology,University of Oregon,Psychology,9.4,0%,723,6.3%,Yes,Yes,14
20037082,Social and Behavioral Sciences,Psychology,University of Pennsylvania,Psychology,4.8,29.5%,737,10%,Yes,Yes,17
20049915,Social and Behavioral Sciences,Psychology,University of Pittsburgh Pittsburgh Campus,Psychology,10.6,0%,689,11.1%,Yes,Yes,18
20065122,Social and Behavioral Sciences,Psychology,University of Rhode Island,Psychology,13,0%,634,0%,No,Yes,14
20069160,Social and Behavioral Sciences,Psychology,University of Rochester,Brain & Cognitive Sciences,3.2,0%,749,25%,Yes,Yes,17
20069199,Social and Behavioral Sciences,Psychology,University of Rochester,Clinical Psychology,3.8,25%,673,0%,Yes,Yes,17
20069403,Social and Behavioral Sciences,Psychology,University of Rochester,Social-Personality Psychology,1,0%,663,0%,Yes,Yes,15
20067913,Social and Behavioral Sciences,Psychology,University of South Carolina Columbia,Psychology,19,7.9%,640,0%,No,Yes,18
20024956,Social and Behavioral Sciences,Psychology,University of South Florida,Psychology,19,21.3%,689,4.8%,No,Yes,15
20068404,Social and Behavioral Sciences,Psychology,University of Southern California,Psychology,11.4,0%,736,0%,Yes,Yes,18
20032854,Social and Behavioral Sciences,Psychology,University of Southern Mississippi,Psychology,17.6,0%,611,0%,Yes,No,18
20045867,Social and Behavioral Sciences,Psychology,University of Tennessee,Industrial and Organizational Psychology,3.4,76.5%,647,0%,Yes,Yes,14
20046002,Social and Behavioral Sciences,Psychology,University of Tennessee,Psychology,14.2,61.8%,647,4.8%,No,Yes,17
20061427,Social and Behavioral Sciences,Psychology,University of Texas At Austin,Communication Sciences and Disorders,2,20%,667,0%,Yes,Yes,17
20061595,Social and Behavioral Sciences,Psychology,University of Texas At Austin,Human Development & Family Sciences,4.6,40.7%,641,0%,Yes,Yes,17
20061812,Social and Behavioral Sciences,Psychology,University of Texas At Austin,Psychology,15,6.4%,693,5.3%,Yes,Yes,18
20056173,Social and Behavioral Sciences,Psychology,University of Texas At Dallas,Psychological Sciences,4.8,4.8%,637,82%,No,Yes,10
20019026,Social and Behavioral Sciences,Psychology,University of Texas Southwestern Medical Center At Dallas,Clinical Psychology,9.2,0%,659,0%,Yes,Yes,17
20043607,Social and Behavioral Sciences,Psychology,University of Toledo,Psychology,5.8,14.3%,631,12.5%,Yes,Yes,18
20047807,Social and Behavioral Sciences,Psychology,University of Utah,Psychology,7.6,0%,647,0%,Yes,Yes,15
20027571,Social and Behavioral Sciences,Psychology,University of Vermont,Psychology,10.6,0%,652,43.8%,Yes,Yes,18
20023342,Social and Behavioral Sciences,Psychology,University of Virginia,Psychology,10.8,0%,722,63.6%,Yes,Yes,17
20059989,Social and Behavioral Sciences,Psychology,University of Washington,Psychology,14.8,31.7%,703,0%,Yes,Yes,18
20030487,Social and Behavioral Sciences,Psychology,University of Wisconsin-Madison,Communicative Disorders,4.2,0%,727,8.8%,Yes,Yes,17
20031033,Social and Behavioral Sciences,Psychology,University of Wisconsin-Madison,Psychology,8.4,8.3%,709,0%,Yes,Yes,18
20026734,Social and Behavioral Sciences,Psychology,University of Wisconsin-Milwaukee,Psychology,7.8,0%,636,0%,Yes,Yes,17
20024736,Social and Behavioral Sciences,Psychology,University of Wyoming,Psychology,4.4,15.4%,680,46.7%,Yes,Yes,14
20062581,Social and Behavioral Sciences,Psychology,Utah State University,Disability Disciplines,1.8,0%,660,62.5%,Yes,No,18
20062756,Social and Behavioral Sciences,Psychology,Utah State University,Psychology (EHS),5.8,15%,660,0%,No,No,12
20058715,Social and Behavioral Sciences,Psychology,Vanderbilt University,Psychological Sciences,12.2,25.3%,729,0%,Yes,Yes,17
20017523,Social and Behavioral Sciences,Psychology,Virginia Commonwealth University,Clinical Psychology,6.4,0%,641,0%,Yes,No,18
20017536,Social and Behavioral Sciences,Psychology,Virginia Commonwealth University,Counseling Psychology,5,0%,612,11.1%,No,No,18
20017549,Social and Behavioral Sciences,Psychology,Virginia Commonwealth University,Psychology,5.4,0%,622,0%,Yes,No,18
20044716,Social and Behavioral Sciences,Psychology,Virginia Polytechnic Institute And State University,Psychology,11.4,45.5%,669,0%,No,Yes,17
20058595,Social and Behavioral Sciences,Psychology,Washington State University,Psychology: Clinical Emphasis,5,40.9%,598,0%,Yes,Yes,18
20058605,Social and Behavioral Sciences,Psychology,Washington State University,Psychology: Experimental Emphasis,3.2,46.4%,586,0%,Yes,Yes,18
20070036,Social and Behavioral Sciences,Psychology,Washington University In St. Louis,Psychology,9,11.1%,716,0%,Yes,Yes,18
20021577,Social and Behavioral Sciences,Psychology,Wayne State University,Psychology,16.8,10%,664,0%,Yes,Yes,18
20044169,Social and Behavioral Sciences,Psychology,Western Michigan University,Psychology: Behavioral Analysis,3.6,21.4%,571,0%,No,Yes,18
20044172,Social and Behavioral Sciences,Psychology,Western Michigan University,Psychology: Clinical Psychology,4,50%,644,0%,Yes,Yes,18
20049436,Social and Behavioral Sciences,Psychology,Wright State University Main Campus,Human Factors and Industrial/Organizational Psychology,1.4,35.7%,675,11.1%,No,No,13
20063755,Social and Behavioral Sciences,Psychology,Yale University,Psychology,12.2,33.3%,744,6.7%,Yes,Yes,18
20060114,Social and Behavioral Sciences,"Public Affairs, Public Policy and Public Administration",American University,Public Administration,2.4,0%,675,0%,No,No,14
20035097,Social and Behavioral Sciences,"Public Affairs, Public Policy and Public Administration",Arizona State University,Public Administration,6.4,23.1%,556,0%,No,Yes,18
20071268,Social and Behavioral Sciences,"Public Affairs, Public Policy and Public Administration",Carnegie Mellon University,H. John Heinz III School of Public Policy and Management,3.4,30.8%,750,0%,Yes,No,15
20025667,Social and Behavioral Sciences,"Public Affairs, Public Policy and Public Administration",Cleveland State University,Urban Affairs and Public Policy,3.6,35.3%,643,11.5%,No,No,18
20044318,Social and Behavioral Sciences,"Public Affairs, Public Policy and Public Administration",Florida Atlantic University,Public Administration,3.4,7.1%,603,40%,No,No,18
20034700,Social and Behavioral Sciences,"Public Affairs, Public Policy and Public Administration",Florida International University,Public Administration,1,0%,632,83.3%,No,Yes,11
20034713,Social and Behavioral Sciences,"Public Affairs, Public Policy and Public Administration",Florida International University,Social Welfare,2.2,23.5%,511,0%,Yes,Yes,17
20027416,Social and Behavioral Sciences,"Public Affairs, Public Policy and Public Administration",Florida State University,Public Administration and Policy,4.2,0%,654,0%,No,Yes,17
20019518,Social and Behavioral Sciences,"Public Affairs, Public Policy and Public Administration",George Washington University,Public Policy and Administration,6,15.6%,695,0%,No,Yes,17
20063043,Social and Behavioral Sciences,"Public Affairs, Public Policy and Public Administration",Georgia Institute of Technology,Public Policy,1.6,24.1%,730,12.5%,Yes,No,15
20053655,Social and Behavioral Sciences,"Public Affairs, Public Policy and Public Administration",Georgia State University / Georgia Tech,Public Policy,1.4,5%,674,0%,No,No,17
20066150,Social and Behavioral Sciences,"Public Affairs, Public Policy and Public Administration",Harvard University,KSG Public Policy,5.2,0%,773,0%,No,Yes,13
20046617,Social and Behavioral Sciences,"Public Affairs, Public Policy and Public Administration",Indiana University At Bloomington,Public Affairs,2,22.6%,750,14.3%,Yes,Yes,18
20046620,Social and Behavioral Sciences,"Public Affairs, Public Policy and Public Administration",Indiana University At Bloomington,Public Policy,3,60.6%,691,100%,Yes,Yes,18
20056720,Social and Behavioral Sciences,"Public Affairs, Public Policy and Public Administration",Johns Hopkins University,Health Policy and Management,20.2,0%,680,41.7%,No,Yes,16
20024561,Social and Behavioral Sciences,"Public Affairs, Public Policy and Public Administration",Mississippi State University,Public Policy and Administration,2.4,0%,470,0%,No,No,15
20064576,Social and Behavioral Sciences,"Public Affairs, Public Policy and Public Administration",New York University,Public Administration,5,25.7%,696,50%,Yes,Yes,11
20041638,Social and Behavioral Sciences,"Public Affairs, Public Policy and Public Administration",North Carolina State University,Public Administration,3.6,0%,633,0%,No,Yes,18
20031965,Social and Behavioral Sciences,"Public Affairs, Public Policy and Public Administration",Northeastern University,Public & International Affairs,2.2,5%,632,0%,No,Yes,18
20058702,Social and Behavioral Sciences,"Public Affairs, Public Policy and Public Administration",Northeastern University,Law Policy and Society,8.2,23.8%,623,21.4%,No,Yes,15
20029320,Social and Behavioral Sciences,"Public Affairs, Public Policy and Public Administration",Ohio State University Main Campus,Public Policy and Management,1.6,0%,695,33.3%,No,Yes,18
20069115,Social and Behavioral Sciences,"Public Affairs, Public Policy and Public Administration",Old Dominion University,Public Administration and Urban Policy,1.4,45.5%,495,0%,No,No,17
20031745,Social and Behavioral Sciences,"Public Affairs, Public Policy and Public Administration",Penn State University,Public Administration,2.6,63.3%,648,0%,No,Yes,18
20032715,Social and Behavioral Sciences,"Public Affairs, Public Policy and Public Administration",Princeton University,Woodrow Wilson School,5.2,25.7%,766,33.3%,No,Yes,17
